2016-05-19 13:46:56,882 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-05-19 14:19:55,230 [Worker-98] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:24:00,397 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:24:03,343 [Worker-91] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:24:04,703 [Worker-91] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:24:04,713 [Worker-91] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:24:07,632 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:24:07,710 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:24:07,943 [Worker-72] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:24:07,974 [Worker-72] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:24:16,196 [Worker-121] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:24:16,271 [Worker-121] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:24:16,471 [Worker-121] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:24:16,471 [Worker-121] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:24:21,133 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:24:21,203 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:24:21,447 [Worker-62] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:24:21,471 [Worker-62] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:25:33,174 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:25:33,352 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:25:33,362 [Worker-51] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:25:33,362 [Worker-51] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:25:47,454 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:25:49,452 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:25:50,781 [Worker-75] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:25:50,781 [Worker-75] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:26:34,579 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:26:34,679 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:26:34,879 [Worker-69] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:26:34,889 [Worker-69] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:27:36,626 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:27:36,708 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:27:36,918 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:27:36,918 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:30:21,511 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:30:21,603 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:30:24,271 [Worker-94] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:30:24,303 [Worker-94] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:31:55,683 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:31:55,745 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 1746 resources
2016-05-19 14:31:55,932 [Worker-84] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:31:55,969 [Worker-84] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:33:12,440 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:33:12,450 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:33:12,450 [Worker-126] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:33:12,450 [Worker-126] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:34:03,746 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:34:03,757 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:34:03,759 [Worker-83] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:34:03,766 [Worker-83] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:58:25,590 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-05-19 14:58:26,310 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: g:g:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\g\pom.xml.
2016-05-19 14:58:28,140 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /g/src/main/java
2016-05-19 14:58:28,140 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /g/src/main/resources
2016-05-19 14:58:28,150 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /g/src/test/java
2016-05-19 14:58:28,150 [main] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /g/src/test/resources
2016-05-19 14:58:29,282 [main] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: g:g:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\g\pom.xml.
2016-05-19 14:58:29,384 [Worker-147] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: g:g:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\g\pom.xml.
2016-05-19 14:58:30,504 [main] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for g
2016-05-19 14:58:30,514 [main] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2016-05-19 14:58:31,949 [Worker-148] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: g:g:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\g\pom.xml.
2016-05-19 14:58:32,091 [Worker-149] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: g:g:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\g\pom.xml.
2016-05-19 14:58:33,146 [Worker-149] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:58:33,151 [Worker-149] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:58:33,152 [Worker-149] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:58:33,166 [Worker-149] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:58:34,528 [Worker-145] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: g:g:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\g\pom.xml.
2016-05-19 14:58:35,990 [Worker-151] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:58:35,999 [Worker-151] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 14:58:36,000 [Worker-151] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 14:58:36,005 [Worker-151] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-05-19 15:01:19,838 [Worker-159] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: g:g:1.0.0 @ D:\eGovFrameDev-3.5.1-64bit\workspace\g\pom.xml.
2016-05-19 15:01:23,524 [Worker-159] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 15:01:23,554 [Worker-159] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 164 resources
2016-05-19 15:01:24,980 [Worker-159] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2016-05-19 15:01:24,984 [Worker-159] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
